ds,yhat,capacity
2022-12-31,69999.7342024114,399.9984811566366
2023-12-31,74999.72547585827,428.5698598620473
2024-12-31,69999.74788622033,399.99855934983043
2025-12-31,79999.73823281871,457.1413613303926
2026-12-31,87619.79969813775,500.6845697036443
2027-12-31,92855.90526208875,530.6051729262215
2028-12-31,88078.43617032838,503.3053495447336
2029-12-31,98078.42651693159,560.4481515253234
2030-12-31,105698.48798227537,603.9913598987164
2031-12-31,110934.59354620989,633.9119631211994
2032-12-31,106157.12445454331,606.6121397402475
2033-12-31,116157.11480098026,663.7549417198871
2034-12-31,123777.17626636638,707.2981500935222
2035-12-31,129013.28183031964,737.2187533161123
2036-12-31,124235.8127384544,709.9189299340252
2037-12-31,134235.80308498003,767.0617319141716
